race_geo,annual_inc,int_rate,dti,zip_code,overall_accuracy,overall_auc,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,equalized_odds,predicted_parity,White alone_fraction_given,White alone_fraction_given_original,Black or African American alone_fraction_given,Black or African American alone_fraction_given_original,American Indian and Alaska Native alone_fraction_given,American Indian and Alaska Native alone_fraction_given_original,Asian alone_fraction_given,Asian alone_fraction_given_original,Native Hawaiian and Other Pacific Islander alone_fraction_given,Native Hawaiian and Other Pacific Islander alone_fraction_given_original,Some other race alone_fraction_given,Some other race alone_fraction_given_original,Two or more races_fraction_given,Two or more races_fraction_given_original
1,1,1,1,1,0.78,0.4720056697377746,0.8095238095238095,0.6190476190476191,,0.9230769230769231,1.0,0.6428571428571429,0.76,0.95,1.0,0.9285714285714286,0.8809523809523809,1.0,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,0.9285714285714286,0.7142857142857143,1.0,0.76
1,1,1,1,2,0.83,0.505846917080085,0.8809523809523809,0.6190476190476191,,0.9230769230769231,1.0,0.7142857142857143,0.76,1.0,,1.0,0.8809523809523809,1.0,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,1.0,0.7142857142857143,1.0,0.76
1,1,1,1,3,0.75,0.4518072289156626,0.7698412698412699,0.5714285714285714,,0.9230769230769231,1.0,0.7142857142857143,0.72,0.6447368421052632,0.5,0.8888888888888888,0.8809523809523809,0.8571428571428571,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,0.7142857142857143,0.7142857142857143,0.72,0.76
1,1,1,1,4,0.72,0.4627923458540042,0.7380952380952381,0.5238095238095238,,0.9230769230769231,1.0,0.5714285714285714,0.76,0.33333333333333326,0.55,0.8412698412698413,0.8809523809523809,0.8095238095238095,0.6190476190476191,,,0.8461538461538461,0.9230769230769231,1.0,1.0,0.5714285714285714,0.7142857142857143,0.68,0.76
1,1,1,2,1,0.78,0.4748405386250885,0.8095238095238095,0.6190476190476191,,0.9230769230769231,1.0,0.6428571428571429,0.76,0.95,1.0,0.9285714285714286,0.8809523809523809,1.0,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,0.9285714285714286,0.7142857142857143,1.0,0.76
1,1,1,2,2,0.83,0.5269312544294826,0.8809523809523809,0.6190476190476191,,0.9230769230769231,1.0,0.7142857142857143,0.76,1.0,,1.0,0.8809523809523809,1.0,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,1.0,0.7142857142857143,1.0,0.76
1,1,1,2,3,0.755,0.45978029766123313,0.7698412698412699,0.6190476190476191,,0.9230769230769231,1.0,0.6428571428571429,0.76,0.6,0.5625,0.873015873015873,0.8809523809523809,0.9047619047619048,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,0.6428571428571429,0.7142857142857143,0.84,0.76
1,1,1,2,4,0.71,0.4677533664068037,0.7301587301587301,0.47619047619047616,,0.9230769230769231,1.0,0.5714285714285714,0.76,0.33333333333333326,0.5476190476190477,0.8333333333333334,0.8809523809523809,0.7619047619047619,0.6190476190476191,,,0.8461538461538461,0.9230769230769231,1.0,1.0,0.5714285714285714,0.7142857142857143,0.68,0.76
1,1,1,3,1,0.79,0.49326718639262934,0.8174603174603174,0.6190476190476191,,0.9230769230769231,1.0,0.7142857142857143,0.76,0.825,0.5,0.9365079365079365,0.8809523809523809,1.0,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,0.8571428571428571,0.7142857142857143,1.0,0.76
1,1,1,3,2,0.83,0.5077958894401133,0.8809523809523809,0.6190476190476191,,0.9230769230769231,1.0,0.7142857142857143,0.76,1.0,,1.0,0.8809523809523809,1.0,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,1.0,0.7142857142857143,1.0,0.76
1,1,1,3,3,0.75,0.45960311835577605,0.7698412698412699,0.5714285714285714,,0.9230769230769231,1.0,0.7142857142857143,0.72,0.65,0.5,0.8888888888888888,0.8809523809523809,0.8571428571428571,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,0.7142857142857143,0.7142857142857143,0.8,0.76
1,1,1,3,4,0.71,0.463855421686747,0.7301587301587301,0.47619047619047616,,0.9230769230769231,1.0,0.6428571428571429,0.72,0.37948717948717947,0.5476190476190477,0.8333333333333334,0.8809523809523809,0.7619047619047619,0.6190476190476191,,,0.8461538461538461,0.9230769230769231,1.0,1.0,0.6428571428571429,0.7142857142857143,0.72,0.76
1,1,1,4,1,0.775,0.4937987243090007,0.7936507936507936,0.6190476190476191,,0.9230769230769231,1.0,0.7142857142857143,0.76,0.825,0.5,0.9126984126984127,0.8809523809523809,1.0,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,0.8571428571428571,0.7142857142857143,1.0,0.76
1,1,1,4,2,0.825,0.489900779588944,0.873015873015873,0.6190476190476191,,0.9230769230769231,1.0,0.7142857142857143,0.76,0.9198198198198199,,0.9603174603174603,0.8809523809523809,1.0,0.6190476190476191,,,1.0,0.9230769230769231,1.0,1.0,1.0,0.7142857142857143,1.0,0.76
